variation_id,exercise_family,variation_name,difficulty_level,equipment,description,form_cues
SQUAT_L1,squat,Chair Squat,1,chair,"Stand in front of a stable chair with feet about shoulder-width apart. Push the hips back and lower under control until lightly touching the chair, then stand again.",Keep the chest upright; knees follow the direction of the toes; keep both feet planted.
SQUAT_L2,squat,Bodyweight Squat,2,none,"Stand with feet approximately shoulder-width apart. Sit the hips back and bend the knees, then drive through the feet to stand.",Keep the torso controlled; knees track with the toes; move through a comfortable range.
SQUAT_L3,squat,Loaded Squat,3,"dumbbell, backpack, water bottles or other secure household resistance",Perform the squat while holding a manageable external load close to the body.,Use only a secure load; maintain the same controlled squat technique used in the bodyweight version.
LUNGE_L1,lunge,Supported Reverse Lunge,1,stable chair or support,Hold a stable support and step one foot backward. Lower under control and return to standing before changing legs.,Keep the front foot planted; stay controlled; use the support for balance rather than pulling.
LUNGE_L2,lunge,Reverse Lunge,2,none,"Step backward into a controlled lunge, then push through the front foot to return to standing.",Maintain balance; keep the front knee tracking with the toes; control both the lowering and return.
LUNGE_L3,lunge,Loaded Reverse Lunge,3,"dumbbells, water bottles or secure household resistance",Perform reverse lunges while holding a manageable external load.,Use a secure load and preserve the same balance and knee control as the unloaded variation.
PUSHUP_L1,pushup,Wall Push-Up,1,wall,"Place both hands against a wall around chest height. Bend the elbows and bring the chest toward the wall, then press away.",Keep the body in a straight line; avoid letting the hips collapse forward.
PUSHUP_L2,pushup,Incline Push-Up,2,"stable bench, table or other secure raised surface",Place hands on a stable elevated surface and perform a push-up while maintaining a straight body position.,Use only a stable surface; keep elbows controlled; maintain trunk tension.
PUSHUP_L3,pushup,Floor Push-Up,3,none,"From a strong plank position, lower the chest toward the floor and press back to the starting position.","Keep head, torso and hips aligned; maintain controlled elbows and trunk position."
CURL_L1,bicep_curl,Light Bottle Bicep Curl,1,small water bottles or light dumbbells,"Hold a light object securely in each hand. Bend the elbows to bring the load upward, then lower slowly.",Keep elbows close to the body and avoid swinging the torso.
CURL_L2,bicep_curl,Standard Bicep Curl,2,"dumbbells, filled water bottles or other secure resistance",Curl a manageable resistance while keeping the upper arms relatively still.,Avoid momentum; control the lowering phase.
CURL_L3,bicep_curl,Heavier Controlled Bicep Curl,3,dumbbells or secure household resistance,Use a slightly greater resistance while maintaining strict controlled curl technique.,Increase resistance only if previous resistance can be controlled without swinging.
ROW_L1,supported_row,Light Supported One-Arm Row,1,stable support and light water bottle,"Place one hand on a stable support. Hold a light weight in the opposite hand and pull it toward the side of the rib cage, then lower slowly.",Keep the back controlled; avoid twisting the torso; pull the elbow backward.
ROW_L2,supported_row,Supported One-Arm Row,2,"stable support plus dumbbell, bottle or secure household resistance",Use a supported stance and row a manageable load toward the torso.,Maintain a stable trunk and controlled shoulder movement.
ROW_L3,supported_row,Heavier Supported One-Arm Row,3,stable support and heavier secure resistance,Perform the same supported rowing motion with a greater but manageable resistance.,Do not sacrifice trunk position or range of motion simply to use more resistance.
