food_code,display_name,source_food_name,food_group,food_role,diet_class,vegan_ok,vegetarian_ok,eggetarian_ok,nonveg_ok,contains_dairy,contains_egg,contains_meat,contains_fish,breakfast_ok,lunch_ok,snack_ok,dinner_ok,ingredient_only,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,protein_per_100kcal,protein_level,carbohydrate_status,fiber_status,regions,source_page,nutrition_source,is_active
A001,"Amaranth seed, black","Amaranth seed, black (Amaranthus cruentus)",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,356.1,14.59,59.98,5.74,7.02,4.1,low,ifct_reported,ifct_reported,1,41,IFCT 2017,True
A003,Bajra,Bajra (Pennisetum typhoideum),grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,348.0,10.96,61.78,5.43,11.49,3.15,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
A004,Barley,Barley (Hordeum vulgare),grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,315.7,10.94,61.29,1.3,15.64,3.47,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
A005,Jowar,Jowar (Sorghum vulgare),grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,334.1,9.97,67.68,1.73,10.22,2.98,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
A006,"Maize, dry","Maize, dry (Zea mays)",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,334.1,8.8,64.77,3.77,12.24,2.63,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
A008,"Maize, tender, sweet","Maize, tender, sweet (Zea mays)",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,96.8,4.16,16.42,1.35,3.3,4.3,low,ifct_reported,ifct_reported,4,41,IFCT 2017,True
A009,Quinoa,Quinoa (Chenopodium quinoa),grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,328.4,13.11,53.65,5.5,14.66,3.99,low,ifct_reported,ifct_reported,1,41,IFCT 2017,True
A010,Ragi,Ragi (Eleusine coracana),grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,320.7,7.16,66.82,1.92,11.18,2.23,low,ifct_reported,ifct_reported,5,41,IFCT 2017,True
A011,Rice flakes,Rice flakes (Oryza sativa ),grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,353.7,7.44,76.75,1.14,3.46,2.1,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
A013,"Rice, raw, brown","Rice, raw, brown (Oryza sativa )",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,353.7,9.16,74.8,1.24,4.43,2.59,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
