variation_id,accessibility_id,audio_instruction,orientation_cue,safety_note
SQUAT_L1,blind_low_vision,"Stand directly in front of a stable chair with the chair close behind you. Place your feet about shoulder-width apart. Move your hips back and bend your knees slowly until you lightly touch the chair, then press through your feet to stand.",Use the chair behind you as a fixed tactile reference.,Make sure the chair cannot slide.
SQUAT_L2,blind_low_vision,"Stand in a clear area with feet about shoulder-width apart. Keep a stable chair or wall within easy reach if desired. Move your hips back, bend your knees through a comfortable range, then stand smoothly.",Stay in one fixed clear position throughout the set.,Use stable support if balance feels uncertain.
SQUAT_L3,blind_low_vision,"Place the secure weight in a known location before starting. Hold the load close to your body, establish your stance, then squat slowly through a comfortable range before standing again.",Keep the load and any support point in consistent known locations.,Only use a secure load that can be controlled without losing balance.
LUNGE_L1,blind_low_vision,"Stand beside a stable chair or support and keep one hand in light contact with it. Step one foot backward, lower under control, then return that foot to the starting position before changing sides.",Use the stable support as a fixed position reference.,Keep the step length comfortable and the floor clear.
LUNGE_L2,blind_low_vision,"Begin from a fixed standing position in a clear area. Step one foot backward, lower with control, then push through the front foot to return to the same starting position.",Use a nearby stable support if needed for orientation.,"If balance is uncertain, use the supported variation instead."
LUNGE_L3,blind_low_vision,"Hold the secure resistance close to your body and establish your fixed starting position. Step backward into the lunge, lower slowly, then return to the same starting position before changing sides.",Keep weights and support in consistent known positions.,Do not add load until the unloaded movement feels controlled.
PUSHUP_L1,blind_low_vision,"Face a clear wall. Place both palms on the wall around chest height and about shoulder-width apart. Step back to a comfortable position. Bend your elbows to bring your chest toward the wall, then press away.",The wall provides a fixed tactile reference for both hands.,Keep the floor around your feet clear and dry.
PUSHUP_L2,blind_low_vision,"Locate the stable raised surface with both hands before starting. Place your hands securely, step your feet back, keep your body aligned, lower toward the surface, then press back up.",Keep both hands on the same stable surface throughout the set.,Do not use furniture that can move or tip.
PUSHUP_L3,blind_low_vision,"Use a clear floor area. Place both hands securely on the floor, move into a stable plank position, lower your chest under control, then press back to the starting position.",Use the same clear floor position for the full set.,Use an easier push-up variation if the floor setup feels uncertain.
CURL_L1,blind_low_vision,"Place the light bottles or dumbbells in a consistent location before starting. Hold one securely in each hand, keep your elbows near your sides, curl the weights upward, then lower them slowly.",Return the weights to the same known location after the set.,"Use containers or weights that are closed, secure and easy to grip."
CURL_L2,blind_low_vision,"Hold the secure resistance with your arms by your sides. Keep your upper arms still, bend your elbows to raise the load, then lower it slowly without swinging.",Keep your stance fixed and the exercise area clear.,Choose a load that can be controlled without body swinging.
CURL_L3,blind_low_vision,Use the same controlled curl setup with a slightly greater secure resistance. Raise and lower the load smoothly while keeping your upper arms close to your body.,Keep all equipment in consistent known positions.,Increase resistance only when the previous load is controlled.
ROW_L1,blind_low_vision,"Locate a stable support with one hand and place the light weight in the opposite hand. Keep your trunk controlled, pull the weight toward the side of your rib cage, then lower it slowly. Change sides after completing the prescribed work.",Keep one hand in contact with the fixed support.,Use a support that cannot slide or tip.
ROW_L2,blind_low_vision,"Establish the supported position with one hand on a stable surface. Hold the resistance securely in the other hand, pull the elbow backward toward the torso, then lower the load under control.",Keep the support and weight in consistent known locations.,Keep the trunk stable and avoid twisting to move the load.
ROW_L3,blind_low_vision,Use the familiar supported rowing position with a greater but manageable secure resistance. Pull the load toward the torso and lower it slowly while maintaining the same stable body position.,Maintain hand contact with the fixed support during the set.,Do not increase load if it changes your stable body position.
