lifestyle,week_number,active_days_target,strength_sessions,preferred_activity_sessions,rest_days_target,is_consolidation_week
sedentary,1,3,2,1,4,False
sedentary,2,3,2,1,4,False
sedentary,3,4,2,2,3,False
sedentary,4,3,2,1,4,True
sedentary,5,4,2,2,3,False
sedentary,6,4,2,2,3,False
sedentary,7,4,2,2,3,False
sedentary,8,4,2,2,3,False
light,1,4,2,2,3,False
light,2,4,2,2,3,False
light,3,4,2,2,3,False
light,4,4,2,2,3,True
light,5,5,2,3,2,False
light,6,5,2,3,2,False
light,7,5,2,3,2,False
light,8,5,2,3,2,False
moderate,1,5,2,3,2,False
moderate,2,5,2,3,2,False
moderate,3,5,2,3,2,False
moderate,4,4,2,2,3,True
moderate,5,5,2,3,2,False
moderate,6,5,2,3,2,False
moderate,7,6,2,4,1,False
moderate,8,5,2,3,2,False
very_active,1,5,2,3,2,False
very_active,2,6,2,4,1,False
very_active,3,6,2,4,1,False
very_active,4,5,2,3,2,True
very_active,5,6,2,4,1,False
very_active,6,6,2,4,1,False
very_active,7,6,2,4,1,False
very_active,8,6,2,4,1,False
