template_id,activity_id,session_type,title,intensity_default,warmup_description,main_description,cooldown_description
WALK_EASY,walking,easy,Easy Walk,easy,Begin with 3-5 minutes of relaxed walking. Gradually lengthen your stride and settle into a comfortable rhythm.,"Walk at a comfortable conversational pace. Keep posture upright, shoulders relaxed and take controlled natural steps.",Finish with 3-5 minutes of slower walking and allow breathing to return toward normal.
WALK_BRISK,walking,brisk,Brisk Walk,moderate,Walk easily for about 5 minutes before gradually increasing pace.,Walk faster than your normal pace while staying controlled. Arms may swing naturally. You should still be able to speak in short sentences.,Reduce the pace gradually for approximately 5 minutes.
WALK_INTERVAL,walking,interval,Brisk Walking Intervals,moderate,Walk easily for 5-7 minutes.,Alternate brisk walking periods with easier recovery walking. Do not sprint. The goal is controlled changes in pace.,Walk slowly for approximately 5 minutes.
RUN_WALK,running,run_walk,Run-Walk Session,easy,Begin with 5-8 minutes of brisk walking. Add a few short periods of very easy jogging if comfortable.,Alternate easy running with walking recovery. Running portions should feel controlled rather than like a sprint.,Finish with at least 5 minutes of easy walking.
RUN_EASY,running,easy,Easy Continuous Run,easy,Walk or jog easily for 5-8 minutes before settling into the main run.,"Run at a comfortable conversational effort. Focus on relaxed shoulders, controlled breathing and an easy sustainable pace.",Slow to an easy jog and then walk for approximately 5 minutes.
RUN_INTERVAL,running,interval,Running Interval Session,moderate_hard,Complete 8-10 minutes of easy walking and jogging before beginning the intervals.,Alternate controlled faster running periods with easy walking or jogging recovery. Faster does not mean all-out sprinting.,Jog or walk easily for 5-8 minutes.
RUN_TEMPO,running,tempo,Controlled Tempo Run,moderate,Complete approximately 8-10 minutes of easy walking and jogging.,Run at a comfortably challenging but controlled pace. The effort should be clearly harder than an easy run but should not become an all-out effort.,Finish with easy jogging or walking for 5-10 minutes.
CYCLE_EASY,cycling,easy,Easy Cycling,easy,Cycle very easily for the first 5 minutes.,Maintain a comfortable cadence and resistance. The effort should feel sustainable and smooth.,Reduce resistance and pedal easily for approximately 5 minutes.
CYCLE_STEADY,cycling,steady,Steady Cycling,moderate,Cycle easily for 5-8 minutes.,Ride at a steady moderate effort. Keep the pedalling rhythm controlled and avoid turning the session into an all-out effort.,Pedal easily for approximately 5 minutes.
CYCLE_INTERVAL,cycling,interval,Cycling Intervals,moderate_hard,Cycle easily for 8-10 minutes.,Alternate stronger controlled cycling efforts with easy pedalling recovery periods.,Finish with at least 5 minutes of easy cycling.
SWIM_EASY,swimming,easy,Easy Swim,easy,Begin with several relaxed lengths using a comfortable stroke.,Swim at a controlled pace with emphasis on smooth technique and comfortable breathing.,Finish with several very easy relaxed lengths.
SWIM_TECHNIQUE,swimming,technique,Swimming Technique Session,easy,Begin with easy relaxed swimming.,"Break the total distance into manageable sets. Prioritize stroke control, body position and relaxed breathing over speed.",Finish with relaxed easy swimming.
SWIM_INTERVAL,swimming,interval,Swimming Interval Session,moderate_hard,Begin with easy swimming and several relaxed practice lengths.,Divide the distance into repeated controlled efforts separated by recovery at the pool wall. Maintain technique as intensity rises.,Finish with relaxed swimming.
STRENGTH_FULL_BODY,strength,full_body,Full Body Strength Session,moderate,"Begin with 5-8 minutes of easy movement. Include shoulder circles, controlled bodyweight squats, gentle hip movement and easy marching.",Perform the five prescribed exercises in order. Prioritize controlled technique over speed or heavy resistance.,Finish with easy walking and relaxed mobility for the muscles used during the session.
