meal_id,meal_name,meal_type,diet_class,vegan_ok,vegetarian_ok,eggetarian_ok,nonveg_ok,servings,total_kcal,total_protein_g,known_carbohydrate_g,total_fat_g,known_fiber_g,carbohydrate_complete,fiber_complete,protein_level,prep_note,is_active
BR001,Ragi Banana Almond Cress Porridge,breakfast,vegan,True,True,True,True,1,393.3,10.2,62.4,10.7,10.1,True,True,moderate,"Cook ragi with water; top with banana, almonds and garden cress seeds.",True
BR002,Peas Peanut Poha,breakfast,vegan,True,True,True,True,1,314.5,10.8,55.6,4.8,6.8,True,True,moderate,Cook poha with peas and onion. Added cooking oil is not included in nutrition.,True
BR003,Moong Dal Veg Chilla,breakfast,vegan,True,True,True,True,1,224.2,15.6,36.2,1.2,7.9,True,True,moderate,"Soak and blend moong dal; cook with capsicum, onion and tomato.",True
BR004,Quinoa Banana Walnut Cress Bowl,breakfast,vegan,True,True,True,True,1,360.0,11.4,50.1,11.8,10.2,True,True,moderate,"Cook quinoa in water; serve with banana, walnuts and garden cress seeds.",True
BR005,Chana Dal Spinach Chilla,breakfast,vegan,True,True,True,True,1,231.9,14.8,33.0,3.8,11.7,True,True,moderate,"Soak and blend chana dal with spinach, onion and tomato.",True
BR006,Sweet Potato Peanut Cress Bowl,breakfast,vegan,True,True,True,True,1,366.9,10.7,53.7,11.2,10.4,True,False,moderate,"Steam sweet potato; top with peanuts, garden cress seeds and lemon juice.",True
BR007,Banana Peanut Atta Pancake,breakfast,vegan,True,True,True,True,1,343.8,10.8,57.6,7.1,9.7,True,True,moderate,"Mix atta, mashed banana and water; cook on a non-stick pan and top with peanuts.",True
BR008,Quinoa Moong Breakfast Bowl,breakfast,vegan,True,True,True,True,1,272.6,16.3,43.2,2.8,14.9,True,True,moderate,Cook quinoa and soaked moong; combine with peas and tomato.,True
BR009,Ragi Milk Banana Porridge,breakfast,vegetarian,False,True,True,True,1,374.3,10.7,58.9,10.1,6.6,True,False,moderate,Cook ragi with cow milk and top with banana.,True
BR010,Paneer Spinach Atta Roll,breakfast,vegetarian,False,True,True,True,1,359.0,17.7,35.2,16.0,7.2,True,False,moderate,"Prepare an atta flatbread and fill with paneer, spinach and tomato.",True
BR011,Egg Poha Bowl,breakfast,eggetarian,False,False,True,True,1,366.7,20.3,45.0,11.2,4.7,False,False,high,Serve cooked poha with peas and onion alongside chopped boiled egg.,True
BR012,Egg White Quinoa Bowl,breakfast,eggetarian,False,False,True,True,1,214.7,19.1,26.0,3.1,8.1,False,False,moderate,"Combine cooked quinoa with boiled egg white, capsicum and tomato.",True
LU001,Rajma Brown Rice Bowl,lunch,vegan,True,True,True,True,1,350.6,15.4,65.9,1.8,12.1,True,True,moderate,Cook soaked rajma and brown rice; serve with tomato and onion.,True
LU002,Chana Quinoa Salad Bowl,lunch,vegan,True,True,True,True,1,314.5,16.1,47.8,5.4,21.2,True,False,moderate,"Combine cooked chana and quinoa with cucumber, tomato and lemon.",True
LU003,Moong Dal Rice Spinach Bowl,lunch,vegan,True,True,True,True,1,347.3,16.4,65.1,1.4,7.8,True,True,moderate,Cook moong dal and rice; add spinach and tomato.,True
LU004,Lentil Bajra Vegetable Bowl,lunch,vegan,True,True,True,True,1,341.6,18.3,57.2,3.4,13.8,True,True,moderate,Cook lentils and bajra; serve with beans and tomato.,True
