meal_item_id,meal_id,food_code,food_name,quantity_g,quantity_basis
MI0001,BR001,A010,Ragi,50,IFCT food-entry weight
MI0002,BR001,E012,"Banana, ripe, robusta",100,IFCT food-entry weight
MI0003,BR001,H001,Almond,10,IFCT food-entry weight
MI0004,BR001,H008,"Garden cress, seeds",15,IFCT food-entry weight
MI0005,BR002,A011,Rice flakes,60,IFCT food-entry weight
MI0006,BR002,D061,"Peas, fresh",50,IFCT food-entry weight
MI0007,BR002,H012,Ground nut,10,IFCT food-entry weight
MI0008,BR002,G017,"Onion, big",20,IFCT food-entry weight
MI0009,BR003,B010,"Green gram, dal ( a)Vigna radiat",60,IFCT food-entry weight
MI0010,BR003,D033,"Capsicum, green",40,IFCT food-entry weight
MI0011,BR003,G017,"Onion, big",30,IFCT food-entry weight
MI0012,BR003,D076,"Tomato, ripe, local",40,IFCT food-entry weight
MI0013,BR004,A009,Quinoa,50,IFCT food-entry weight
MI0014,BR004,E012,"Banana, ripe, robusta",80,IFCT food-entry weight
MI0015,BR004,H021,Walnut,10,IFCT food-entry weight
MI0016,BR004,H008,"Garden cress, seeds",10,IFCT food-entry weight
MI0017,BR005,B001,"Bengal gram, dal",60,IFCT food-entry weight
MI0018,BR005,C033,Spinach,50,IFCT food-entry weight
MI0019,BR005,G017,"Onion, big",30,IFCT food-entry weight
MI0020,BR005,D076,"Tomato, ripe, local",40,IFCT food-entry weight
MI0021,BR006,F013,"Sweet potato, brown skin",180,IFCT food-entry weight
MI0022,BR006,H012,Ground nut,15,IFCT food-entry weight
MI0023,BR006,H008,"Garden cress, seeds",20,IFCT food-entry weight
MI0024,BR006,E033,"Lemon, juice",10,IFCT food-entry weight
MI0025,BR007,A019,"Wheat flour, atta",60,IFCT food-entry weight
MI0026,BR007,E012,"Banana, ripe, robusta",70,IFCT food-entry weight
MI0027,BR007,H012,Ground nut,15,IFCT food-entry weight
MI0028,BR008,A009,Quinoa,40,IFCT food-entry weight
MI0029,BR008,B011,"Green gram, whole",35,IFCT food-entry weight
MI0030,BR008,D061,"Peas, fresh",40,IFCT food-entry weight
MI0031,BR008,D076,"Tomato, ripe, local",30,IFCT food-entry weight
MI0032,BR009,A010,Ragi,45,IFCT food-entry weight
MI0033,BR009,L002,"Milk, whole, Cow",200,IFCT food-entry weight
MI0034,BR009,E012,"Banana, ripe, robusta",80,IFCT food-entry weight
MI0035,BR010,A019,"Wheat flour, atta",50,IFCT food-entry weight
MI0036,BR010,L003,Paneer,60,IFCT food-entry weight
MI0037,BR010,C033,Spinach,40,IFCT food-entry weight
