rule_id,lifestyle,week_number,activity_id,session_variant,template_id,sets,reps,rest_seconds,recommended_variation_level,distance_km,distance_m,duration_min,interval_count,work_interval_sec,recovery_interval_sec,intensity,advance_if_completion_pct,progression_note
PR0001,sedentary,1,strength,strength,STRENGTH_FULL_BODY,2,6,75,1,,,,,,,easy,80,Progress only when the previous workload can be completed with controlled form.
PR0002,sedentary,1,walking,primary,WALK_EASY,,,,,1.5,,20,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0003,sedentary,1,walking,secondary,WALK_BRISK,,,,,1.5,,20,,,,moderate,80,Progress gradually while keeping the prescribed session controlled.
PR0004,sedentary,1,running,primary,RUN_WALK,,,,,1.2,,15,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0005,sedentary,1,running,secondary,RUN_WALK,,,,,1.2,,15,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0006,sedentary,1,cycling,primary,CYCLE_EASY,,,,,5.0,,20,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0007,sedentary,1,cycling,secondary,CYCLE_STEADY,,,,,5.0,,20,,,,moderate,80,Progress gradually while keeping the prescribed session controlled.
PR0008,sedentary,1,swimming,primary,SWIM_EASY,,,,,,300,20,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0009,sedentary,1,swimming,secondary,SWIM_TECHNIQUE,,,,,,300,20,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0010,sedentary,2,strength,strength,STRENGTH_FULL_BODY,2,8,75,1,,,,,,,easy,80,Progress only when the previous workload can be completed with controlled form.
PR0011,sedentary,2,walking,primary,WALK_EASY,,,,,1.6,,22,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0012,sedentary,2,walking,secondary,WALK_BRISK,,,,,1.6,,22,,,,moderate,80,Progress gradually while keeping the prescribed session controlled.
PR0013,sedentary,2,running,primary,RUN_WALK,,,,,1.3,,16,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
PR0014,sedentary,2,running,secondary,RUN_WALK,,,,,1.3,,16,,,,easy,80,Progress gradually while keeping the prescribed session controlled.
